,Unnamed: 0,r_Porities-A,r_Mixed,r_Acropora,r_Soft-coral,a_Porities-A,a_Mixed,a_Acropora,a_Soft-coral,Zone,WQ,r_MACGILLIVRAY REEF,r_LIZARD ISLAND,r_MARTIN REEF(14123),r_LINNET REEF,r_CARTER REEF,r_YONGE REEF,r_NO NAME REEF,r_NORTH DIRECTION REEF,r_AGINCOURT REEFS (NO 1),r_MACKAY REEF,r_ST CRISPIN REEF,r_OPAL (2),r_LOW ISLANDS REEF,r_GREEN ISLAND REEF,r_FITZROY ISLAND REEF,r_HASTINGS REEF,r_MICHAELMAS REEF,r_THETFORD REEF,r_RIB REEF,r_MYRMIDON REEF,r_DIP REEF,r_PANDORA REEF,r_HAVANNAH REEF,r_JOHN BREWER REEF,r_CHICKEN REEF,r_DAVIES REEF,r_19131S,r_19138S,r_SLATE REEF,r_HYDE REEF,r_REBE REEF,r_HAYMAN ISLAND REEF,r_LANGFORD-BIRD REEF,r_BORDER ISLAND REEF (NO 1),r_20104S,r_EAST CAY REEF,r_21529S,r_GANNETT CAY REEF,r_TURNER REEF,r_SNAKE (22088),r_CHINAMAN REEF(22102),r_HORSESHOE,r_BROOMFIELD REEF,r_WRECK ISLAND REEF,r_ONE TREE REEF,r_LADY MUSGRAVE REEF,a_MACGILLIVRAY REEF,a_LIZARD ISLAND,a_MARTIN REEF(14123),a_LINNET REEF,a_CARTER REEF,a_YONGE REEF,a_NO NAME REEF,a_NORTH DIRECTION REEF,a_AGINCOURT REEFS (NO 1),a_MACKAY REEF,a_ST CRISPIN REEF,a_OPAL (2),a_LOW ISLANDS REEF,a_GREEN ISLAND REEF,a_FITZROY ISLAND REEF,a_HASTINGS REEF,a_MICHAELMAS REEF,a_THETFORD REEF,a_RIB REEF,a_MYRMIDON REEF,a_DIP REEF,a_PANDORA REEF,a_HAVANNAH REEF,a_JOHN BREWER REEF,a_CHICKEN REEF,a_DAVIES REEF,a_19131S,a_19138S,a_SLATE REEF,a_HYDE REEF,a_REBE REEF,a_HAYMAN ISLAND REEF,a_LANGFORD-BIRD REEF,a_BORDER ISLAND REEF (NO 1),a_20104S,a_EAST CAY REEF,a_21529S,a_GANNETT CAY REEF,a_TURNER REEF,a_SNAKE (22088),a_CHINAMAN REEF(22102),a_HORSESHOE,a_BROOMFIELD REEF,a_WRECK ISLAND REEF,a_ONE TREE REEF,a_LADY MUSGRAVE REEF,CoTS,cots_Porities-A,cots_Mixed,cots_Acropora,cots_Soft-coral,Storms,Storm_M,Storm_I,Storm_O,Bleaching,Disease,Unknown,Herbivory,WQ_bleach,WQ_CoTS,WQ_Disease,WQ_Unknown,Z_bleach,Z_CoTS,Z_Disease,Z_Unknown,sigma_r_Porities-A,sigma_r_Mixed,sigma_r_Acropora,sigma_r_Soft-coral,sigma_a_Porities-A,sigma_a_Mixed,sigma_a_Acropora,sigma_a_Soft-coral,SD_CoTS,SD_Storms
Median,7499.5,1.130032296357385,1.0820426602627795,1.478949518835052,1.048337022618606,0.24910354097169035,0.256661730058551,0.35585001305181274,0.30103200143375747,-0.08171362913789663,-0.7099008581276354,1.1013047591909586,0.9382080218212273,1.0705334861317701,1.7220786640847239,2.125264821080469,1.486168195649221,1.7610742701741118,0.9138961376158106,1.1918001915458356,0.9323320348916919,0.9750647017452612,0.7260229719313448,0.41817572846576984,0.5632136132651466,0.5134832602633485,1.2375281367535889,1.205902499236276,0.9221679451242719,0.8928598302474695,1.5277443961528183,0.704347706691835,0.37334744145321014,0.2882080122119236,0.8978728185130891,0.5147925616216685,1.147946968622215,0.7793339417222463,0.800293953917584,0.5296182698308729,0.5847569186180552,0.8291447093365509,0.7178341643199264,0.8535763740925009,0.4705139684926791,1.297916096898691,1.6082906445552607,1.3014006082661642,0.3000768002468681,0.652476980992644,0.6965049049102965,1.4873140029423282,0.4023577666376581,1.0627699928179688,1.1986979583761526,1.5593383826237754,1.5156693041041427,0.3766342651033164,0.3607426656510716,0.33542405219166316,0.4579153573865601,0.5411064823041936,0.3760914448191049,0.45356490239329944,0.3076171039482207,0.34573204930696033,0.29779394804445,0.3062672042369945,0.25094426655770713,0.1598795252303548,0.26728816922649906,0.18561573510393253,0.3735864207044962,0.3844793328539369,0.26130116267190184,0.25289915154854054,0.44597843147363603,0.21370356439205296,0.12487845480834653,0.2006845743121952,0.2748955806517514,0.1447448039942176,0.3251622885759859,0.21217148660633472,0.22072243074877249,0.15081326301725154,0.21291260013612912,0.2835706061934556,0.20967291934036544,0.3055709027122907,0.16196335208117774,0.3498435502330435,0.536721049067697,0.3314083490032525,0.10513037880331161,0.19970645797621886,0.18057383082920364,0.41073240311260506,0.11273235239044875,0.27353327905579244,0.2951002886140705,0.37557357897609084,0.3600770769563343,-0.19726065564566525,-0.2918709236291088,-0.10259779555182694,-0.30753890745321855,-0.10111256870954613,-0.22128289229534945,-0.15463333871429757,-0.12439117609405463,-0.387362637231545,-0.10177228118024945,-0.02492898266939935,-0.26825500325857177,-0.03742790527546259,0.08460455319986805,-0.6133637624530799,-0.06180576118315648,-0.21037293028052376,0.012824825968175128,-0.0074308816587888606,-0.013547091759970969,0.16281107871372769,0.16435788736754725,0.512970394470528,0.4921606993454706,0.4214402712622936,0.11124059739221462,0.11649256403093158,0.10852387029541616,0.1253753660022732,0.1759704537993959,0.2975207465684626
Low 95,3749.75,1.007182829776771,0.9688573770285203,1.3583604178976574,0.9670872182700553,0.2228461352352648,0.23394038195954053,0.330704675456181,0.2783557423418346,-0.1532016530298274,-0.8720165575969268,1.0138731955922662,0.8700325492575047,0.9803532143273288,1.607091311298272,2.054294536268056,1.4238195699164313,1.678911080458783,0.8356374493383835,1.1343552107885901,0.8256591715464776,0.9197424853188484,0.6467091477064939,0.3641969929724522,0.5061610251287176,0.46049031675248364,1.1673736275818445,1.1190856703422654,0.8766955668680705,0.8644142781733961,1.4159892165583414,0.633183795226938,0.3218702620872647,0.22298041873927246,0.8177020071209498,0.4730078298233371,1.0267398781465116,0.6846661562432763,0.7225146531281608,0.45596474130078474,0.5020855187650068,0.7477089014596964,0.6331440316346936,0.7534869408204874,0.40828627179004506,1.230976545517383,1.5223601425321491,1.2238612229250883,0.2448410664529389,0.5701338434725245,0.6322043677182163,1.4117989517849427,0.34201213003726044,1.0304347055153256,1.1243227352186442,1.51674241660612,1.491582434929962,0.34828062902318546,0.3359001686607064,0.30727270849593913,0.42794928369776425,0.5233952263806227,0.36033721439353467,0.43253624479034736,0.28180385928796703,0.3290954045846329,0.265291213932374,0.2892736364125183,0.22563702784394854,0.14376237709429765,0.24339807831467947,0.17014529797815414,0.35238711960990826,0.3576078634043618,0.24724519681927598,0.24516331992618046,0.41443383352228635,0.1927881658086211,0.11211730310657755,0.18004327058805605,0.2510717839412214,0.13241659143143095,0.29162515533882,0.1868245807951057,0.19694819341030628,0.13174915681169433,0.18578810136558893,0.25694128571967734,0.1878267907772348,0.2734503000014544,0.14416033241602338,0.33090885556619754,0.5084830180527562,0.3115787737578103,0.08937848180440092,0.17551254730676977,0.16291526751003685,0.38979275675412844,0.0965338600621527,0.265140634869393,0.2772265322666022,0.36554152388278155,0.35435809186462575,-0.2623951817451765,-0.3577143027369994,-0.10953842304787752,-0.32141225865679346,-0.10665531186740085,-0.33334133686409323,-0.1587232254238633,-0.1376652610058266,-0.3937947992455327,-0.1088078912829558,-0.028297538479495017,-0.29073309902099465,-0.040310617872893195,0.07792691716250823,-0.7106892753267053,-0.07828170897276017,-0.4388502761719648,0.004577442048747382,-0.01705737345844046,-0.01682208516392182,0.14150872696993186,0.10971239703270881,0.4367191479681722,0.4050971374811767,0.3630720247777281,0.09056754524954365,0.09908544722099688,0.08998420091945522,0.10881022452537167,0.12046706034341587,0.17433704433710423
Upp 95,14624.025,1.444289556157461,1.441013802206035,1.8867776185400085,1.2940616878179663,0.3421267508310854,0.32925830031477865,0.43934168128542384,0.37186112733092275,0.1783314788092621,-0.07617621247258051,1.3722950231458007,1.146008819289328,1.338943788933257,2.0631634721324907,2.328359004217219,1.6681669748876038,2.004764029525833,1.129226023964245,1.3571306230457232,1.2542046975408134,1.1354644315404516,0.955240839122,0.5674027751421741,0.7209200341090918,0.659213251301188,1.4468835974048992,1.4484824745117983,1.0507300464128564,0.9754208299408604,1.8576190086266124,0.9072363198160225,0.5296480673688185,0.47323978596055044,1.1212966637376474,0.6332156750440253,1.4914406651861858,1.05696765921484,1.0202778042761511,0.7425936487481153,0.816745663921402,1.0685946465509504,0.9629669188791535,1.1364847639914677,0.6367606123224915,1.4894033913237534,1.861414993226743,1.5192384815529687,0.4532282323335024,0.884681305737429,0.8891218764018126,1.7078846509112384,0.5742341965669764,1.1571612122673258,1.4117327373233566,1.6834742315801328,1.5854446545177037,0.4632134235477147,0.4366421335491802,0.4183682823332262,0.5468974802639762,0.5916485781962997,0.4223099766901097,0.5157190973100176,0.3782086392025054,0.3933989228890601,0.39478647706363157,0.35536123881672516,0.3225057961167927,0.20478319792400315,0.33327499447425346,0.22854107067699314,0.4366724150919872,0.46016424428671665,0.30155551179608475,0.27553460045698275,0.5389478572629703,0.2733226971839806,0.16342942750768377,0.25940883001638226,0.34151339131782654,0.18013792303515502,0.4206537144997292,0.28665086661074324,0.2872626476967424,0.20539713393916367,0.2892704229856485,0.3622393268271407,0.27313714076670953,0.39678437888465196,0.2097086045463014,0.40514511024540284,0.6197171697204865,0.38597478615316194,0.14886530516740465,0.26739457467227057,0.23288131472612308,0.4721488912774936,0.15844866039374758,0.2978713733389427,0.34599201702140114,0.40503593482907213,0.3766825421091816,0.10247193542480496,-0.11636272614372399,-0.08190595956805825,-0.2686113578397336,-0.0855083566893016,0.997217785265165,-0.14326831126974954,-0.08637311279279633,-0.3692353556664557,-0.08134432956367377,-0.01547085622528504,-0.20288374863339448,-0.029118019925790394,0.10366433447769413,-0.3143534474244945,-0.01307180966968849,0.45194141418269845,0.03681926731633832,0.021940746463420882,-0.003755530431328835,0.22722474644448806,0.442738782794805,0.8693689764872223,0.9951825893726695,0.683754856792754,0.23059120251861667,0.19609981893862732,0.21230028104982338,0.2005049171575006,0.8925508045949472,4.515384806561119
