,Unnamed: 0,beta_cots__0,beta_cots__1,beta_cots__2,beta_cots__3,beta_storms__0,beta_storms__1,beta_storms__2,beta_storms__3,beta_bleach__0,beta_bleach__1,beta_bleach__2,beta_bleach__3,beta_disease__0,beta_disease__1,beta_disease__2,beta_disease__3,beta_unknown__0,beta_unknown__1,beta_unknown__2,beta_unknown__3,p_cots__0,p_cots__1,p_cots__2,p_cots__3,p_storms__0,p_storms__1,p_storms__2,p_storms__3,p_bleach__0,p_bleach__1,p_bleach__2,p_bleach__3,p_disease__0,p_disease__1,p_disease__2,p_disease__3,p_unknown__0,p_unknown__1,p_unknown__2,p_unknown__3
Median,9999.5,-3.0570576581731284,-2.8301775306526853,-3.7680504852497707,-3.4590488486315873,-7.8261322246848835,-3.182429039119676,-3.235421851538801,-3.80339432964031,-3.7706734295078244,-3.7103185278486492,-8.093637302620376,-3.8049427700815297,-7.834397438746164,-4.814787759037164,-2.9696370842568873,-5.4221302127400905,-7.832023893371265,-8.118618541827564,-3.6988598962612964,-4.729671414610414,0.04491375036141895,0.05571505714639205,0.022575617357865674,0.030500146147186075,0.00039900711411076754,0.03983232970494398,0.037854280450721804,0.02180874163810421,0.022517811998603178,0.02388526188516708,0.00030538333556949624,0.021775733019118594,0.00039572412818361473,0.00804371690428288,0.048816571706429265,0.004398295457496395,0.0003966641388860366,0.0002978512260929447,0.02415387962696836,0.008752096254263111
Low 95,4999.75,-3.148164659171362,-2.899096944046104,-3.8783692137275443,-3.5251043493173313,-8.713591132292805,-3.264882101664641,-3.3186356988606134,-3.884968132528337,-3.8959316133334343,-3.811448930359766,-8.961787118277666,-3.8827184430912656,-8.734167867283329,-4.991151706542874,-3.0427694099114273,-5.598915531396693,-8.723039619818522,-8.988192674650758,-3.8036711796031772,-4.853677468619576,0.041163656703332566,0.052198222417767434,0.020265350494298846,0.02860631450040675,0.0001643100355531519,0.0367957867144686,0.03493737917524995,0.02013474510100884,0.01991957704982357,0.021637572079595394,0.0001282004726114499,0.02017917793027632,0.00016096415712488275,0.00675193238138736,0.04553066721729784,0.003688222767668125,0.00016276511686255546,0.0001248599882507317,0.02180283634633907,0.007739278208576393
Upp 95,19499.024999999998,-2.806854627392397,-2.636105892322873,-3.47315795404838,-3.2709743663207544,-6.061039130288962,-2.9640355480443246,-3.00552219541854,-3.583747697448107,-3.4254937428969936,-3.428958179939043,-6.362776079258289,-3.581696749240906,-6.052154859511509,-4.350888235700379,-2.76145093951634,-4.9473569809483235,-6.074142336361192,-6.384925426542299,-3.4144439793263763,-4.398164974965694,0.05695488679158686,0.06685054669490874,0.03008569385985557,0.0365804738228126,0.0023265509394650914,0.04907732903884902,0.047177021409283725,0.0270210121078309,0.03150815251232101,0.03140260529319019,0.0017216034871656047,0.027074985668309102,0.0023472640136048203,0.012731180321375999,0.0594431925112775,0.007052070378460766,0.002296334075933455,0.0016839538025327052,0.031847091489706575,0.012150440734955487
