REEF_ID,REEF_NAME,A_SECTOR,SHELF,LAT,LON,SITE_LAT,SITE_LON,SITE_NO,TRANSECT_NO,REPORT_YEAR,COVER,DISTURBANCE,COTS,STORM,BLEACHING,DISEASE,C,S,B,D,BENT_CLUST,CLUSTER,CONNECTEDNESS,AREA,RST,RSTY,HC,HC_1,HERB,HERB2,iZONE,sZONE,PFp,PFs,PFt,PFsum
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2010,-999,17,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2011,29,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2011,29,-999,37,22,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2012,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2012,-999,29,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2013,30.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2013,30.5,-999,52,34,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2014,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2014,-999,30.5,0,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2015,19.5,M,0,0,0,0,0.649,61.5,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2015,19.5,-999,35,30,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2016,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2015,-999,19.5,-999,-999,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,1,2017,14.5,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_1,MACGILLIVRAY REEF_1_1_2015,14.5,-999,-999,31,1,1,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,1995,16.67,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_1995,16.67,-999,18,3,1,0,0.00454245,0.0167471,0.116079,0.13736855
14114S,MACGILLIVRAY REEF,CL,M,-14.65,145.49,-14.6483,145.491,1,2,1996,19.29,N,0,0,0,0,0,0,0,0,1,CL1,2.02,0.91,MACGILLIVRAY REEF_1_2,MACGILLIVRAY REEF_1_2_1996,19.29,16.67,41,13,1,0,0.00454245,0.0167471,0.116079,0.13736855
